corporation,sector,newsroom_url
UnitedHealth Group,Healthcare,https://www.unitedhealthgroup.com/newsroom.html
BNSF,Industrials,https://www.bnsf.com/news-media/index.page
Boeing,Industrials,https://boeing.mediaroom.com/
Caterpillar,Industrials,https://www.caterpillar.com/en/news/caterpillarNews.html
FedEx,Industrials,https://newsroom.fedex.com/
General Dynamics,Industrials,https://www.gd.com/news
Lockheed Martin,Industrials,https://news.lockheedmartin.com/news-releases
RTX,Industrials,https://www.rtx.com/news
Raytheon,Industrials,https://www.rtx.com/news
UPS,Industrials,https://about.ups.com/us/en/newsroom.html
Apple,Information Technology,https://www.apple.com/newsroom/
Broadcom,Information Technology,https://www.broadcom.com/company/news
Cisco,Information Technology,https://newsroom.cisco.com/c/r/newsroom/en/us/press-room/press-releases.html
Dell,Information Technology,https://www.dell.com/en-us/dt/corporate/newsroom.htm
IBM,Information Technology,https://newsroom.ibm.com/
Red Hat,Information Technology,https://www.redhat.com/en/about/newsroom
Ingram Micro,Information Technology,https://ir.ingrammicro.com/press-releases
Intel,Information Technology,https://www.intel.com/content/www/us/en/newsroom/news-stories.html
Microsoft,Information Technology,https://news.microsoft.com/category/press-releases/
Nvidia,Information Technology,https://nvidianews.nvidia.com/
Oracle,Information Technology,https://www.oracle.com/news/
TD Synnex,Information Technology,https://ir.synnex.com/news/synnex-press-releases/default.aspx
